skills,role
"python|django|rest|sqlite",Backend Developer
"react|html|css|javascript",Frontend Developer
"react|django|postgres|full stack",Full Stack Developer
"pandas|numpy|data analysis|sql",Data Analyst
"scikit-learn|machine learning|model evaluation|python",Machine Learning Engineer
"aws|docker|kubernetes|cloud",Cloud Engineer
"devops|ci/cd|linux|scripting",DevOps Engineer
"cyber security|network security|vulnerability assessment",Cyber Security Analyst
"android|kotlin|mobile",Mobile App Developer
"python|django|api design",Software Developer
